52,56,59,59,56
52,59,56,59,56
52,56,59,59,56
52,59,56,59,56
51,56,59,59,56
51,59,56,59,56
51,59,56,59,56
51,56,59,59,56
49,59,56,59,56
49,56,59,59,56
49,56,59,59,56
47,56,59,59,56
47,59,56,59,56
47,54,51,54,51
47,54,51,54,51
52,59,56,59,56
52,59,56,56,59
52,56,59,56,59
52,59,56,59,56
51,56,59,59,56
51,59,56,59,56
51,59,56,59,56
51,56,59,59,56
49,59,56,59,56
49,56,59,59,56
49,56,59,59,56
47,56,59,59,56
47,59,56,59,56
47,54,51,54,51
47,54,51,54,51
52,59,56,59,56
51,56,59,59,56
51,59,56,59,56
51,59,56,59,56
51,56,59,59,56
49,59,56,59,56
49,56,59,59,56
49,56,59,59,56
47,56,59,59,56
47,59,56,59,56
47,54,51,54,51
47,54,51,54,51
52,59,56,59,56
51,56,59,59,56
51,59,56,59,56
51,59,56,59,56
51,56,59,59,56
49,59,56,59,56
49,56,59,59,56
49,56,59,59,56
49,56,59,59,56
47,56,59,59,56
47,59,56,59,56
47,54,51,54,51
47,54,51,54,51
52,56,59,59,56
52,59,56,59,56
52,56,59,59,56
52,59,56,59,56
51,56,59,59,56
51,59,56,59,56
51,59,56,59,56
51,56,59,59,56
49,59,56,59,56
49,56,59,59,56
49,56,59,59,56
49,56,59,59,56
47,56,59,59,56
47,59,56,59,56
47,54,51,54,51
47,54,51,54,51
